time,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation
2025-10-03T00:00,13.1,67,6.5,0.0
2025-10-03T01:00,12.0,72,4.0,0.0
2025-10-03T02:00,11.3,76,5.6,0.0
2025-10-03T03:00,11.4,73,5.4,0.0
2025-10-03T04:00,11.0,75,6.1,0.0
2025-10-03T05:00,10.5,78,6.4,0.0
2025-10-03T06:00,10.0,87,7.2,0.0
2025-10-03T07:00,9.5,87,8.0,0.0
2025-10-03T08:00,9.4,87,6.2,0.0
2025-10-03T09:00,9.7,78,7.2,0.0
2025-10-03T10:00,9.3,81,7.6,0.0
2025-10-03T11:00,8.6,87,7.6,0.0
2025-10-03T12:00,9.2,86,6.1,0.0
2025-10-03T13:00,12.9,91,1.8,0.0
2025-10-03T14:00,16.7,85,3.7,0.0
2025-10-03T15:00,18.3,75,5.2,0.0
2025-10-03T16:00,20.8,70,5.8,0.0
2025-10-03T17:00,21.3,69,8.3,0.0
2025-10-03T18:00,22.0,62,7.6,0.0
2025-10-03T19:00,22.8,58,9.0,0.0
2025-10-03T20:00,23.5,52,9.7,0.0
2025-10-03T21:00,23.6,50,9.5,0.0
2025-10-03T22:00,22.5,53,8.7,0.0
2025-10-03T23:00,19.1,68,7.6,0.0
2025-10-04T00:00,17.2,77,7.2,0.0
2025-10-04T01:00,16.4,81,7.4,0.0
2025-10-04T02:00,15.9,81,2.5,0.0
2025-10-04T03:00,15.0,86,7.4,0.0
2025-10-04T04:00,14.6,86,6.7,0.0
2025-10-04T05:00,14.4,86,7.2,0.0
2025-10-04T06:00,14.1,88,5.6,0.0
2025-10-04T07:00,13.9,85,1.6,0.0
2025-10-04T08:00,14.0,83,1.5,0.0
2025-10-04T09:00,14.0,78,4.0,0.0
2025-10-04T10:00,14.3,71,4.4,0.0
2025-10-04T11:00,13.6,76,6.1,0.0
2025-10-04T12:00,13.7,80,6.4,0.0
2025-10-04T13:00,16.4,78,3.3,0.0
2025-10-04T14:00,19.3,69,6.6,0.0
2025-10-04T15:00,20.9,64,7.6,0.0
2025-10-04T16:00,22.5,58,9.7,0.0
2025-10-04T17:00,23.8,53,11.4,0.0
2025-10-04T18:00,25.2,49,12.5,0.0
2025-10-04T19:00,26.7,42,12.8,0.0
2025-10-04T20:00,27.3,37,12.7,0.0
2025-10-04T21:00,26.9,38,11.2,0.0
2025-10-04T22:00,25.2,42,9.6,0.0
2025-10-04T23:00,22.3,48,9.7,0.0
2025-10-05T00:00,21.4,50,11.2,0.0
2025-10-05T01:00,20.7,51,10.5,0.0
2025-10-05T02:00,20.1,51,10.2,0.0
2025-10-05T03:00,19.5,50,9.1,0.0
2025-10-05T04:00,17.9,57,5.2,0.0
2025-10-05T05:00,16.8,64,3.4,0.0
2025-10-05T06:00,15.9,68,4.3,0.0
2025-10-05T07:00,14.9,81,3.5,0.0
2025-10-05T08:00,14.8,78,8.2,0.0
2025-10-05T09:00,14.1,79,5.9,0.0
2025-10-05T10:00,13.9,76,2.3,0.0
2025-10-05T11:00,13.8,78,1.1,0.0
2025-10-05T12:00,13.9,82,0.4,0.0
2025-10-05T13:00,19.0,60,7.6,0.0
2025-10-05T14:00,21.1,53,8.5,0.0
2025-10-05T15:00,23.1,46,9.4,0.0
2025-10-05T16:00,25.0,40,10.5,0.0
2025-10-05T17:00,26.4,36,11.6,0.0
2025-10-05T18:00,27.2,34,13.3,0.0
2025-10-05T19:00,27.4,34,13.7,0.0
2025-10-05T20:00,27.4,33,14.5,0.0
2025-10-05T21:00,26.9,33,14.2,0.0
