time,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation
2025-09-30T00:00,20.3,29,6.4,0.0
2025-09-30T01:00,16.8,50,8.7,0.0
2025-09-30T02:00,15.5,70,7.1,0.0
2025-09-30T03:00,15.3,61,5.2,0.0
2025-09-30T04:00,13.1,78,3.9,0.0
2025-09-30T05:00,13.3,79,8.8,0.0
2025-09-30T06:00,13.4,78,8.7,0.0
2025-09-30T07:00,13.0,81,9.3,0.0
2025-09-30T08:00,12.6,86,10.4,0.0
2025-09-30T09:00,12.5,79,9.1,0.0
2025-09-30T10:00,11.9,80,8.7,0.0
2025-09-30T11:00,11.6,79,9.5,0.0
2025-09-30T12:00,12.2,76,10.1,0.0
2025-09-30T13:00,14.6,75,12.7,0.0
2025-09-30T14:00,16.8,62,14.5,0.0
2025-09-30T15:00,18.0,55,15.0,0.0
2025-09-30T16:00,19.5,50,15.0,0.0
2025-09-30T17:00,20.6,45,14.9,0.0
2025-09-30T18:00,21.3,45,14.9,0.0
2025-09-30T19:00,21.4,46,14.1,0.0
2025-09-30T20:00,21.4,46,13.1,0.0
2025-09-30T21:00,20.9,47,12.5,0.0
2025-09-30T22:00,19.9,49,10.6,0.0
2025-09-30T23:00,17.8,56,7.0,0.0
2025-10-01T00:00,16.2,63,7.4,0.0
2025-10-01T01:00,15.3,61,8.5,0.0
2025-10-01T02:00,14.4,46,10.0,0.0
2025-10-01T03:00,13.5,42,11.9,0.0
2025-10-01T04:00,12.6,40,11.6,0.0
2025-10-01T05:00,11.6,43,11.6,0.0
2025-10-01T06:00,10.7,47,11.8,0.0
2025-10-01T07:00,10.0,52,11.2,0.0
2025-10-01T08:00,9.2,55,10.9,0.0
2025-10-01T09:00,8.5,58,11.3,0.0
2025-10-01T10:00,7.9,62,10.9,0.0
2025-10-01T11:00,7.3,65,10.6,0.0
2025-10-01T12:00,7.6,67,10.7,0.0
2025-10-01T13:00,9.8,62,13.7,0.0
2025-10-01T14:00,11.6,58,14.3,0.0
2025-10-01T15:00,13.4,53,13.4,0.0
2025-10-01T16:00,14.9,48,11.8,0.0
2025-10-01T17:00,15.9,46,12.2,0.0
2025-10-01T18:00,16.1,47,13.0,0.0
2025-10-01T19:00,16.4,48,13.1,0.0
2025-10-01T20:00,16.3,48,12.5,0.0
2025-10-01T21:00,16.0,50,12.7,0.0
2025-10-01T22:00,15.3,51,10.7,0.0
2025-10-01T23:00,13.6,55,6.8,0.0
2025-10-02T00:00,12.7,58,2.5,0.0
2025-10-02T01:00,11.8,58,8.4,0.0
2025-10-02T02:00,11.3,53,8.7,0.0
2025-10-02T03:00,10.8,53,10.1,0.0
2025-10-02T04:00,10.7,55,9.7,0.0
2025-10-02T05:00,10.5,58,9.7,0.0
2025-10-02T06:00,10.0,61,8.5,0.0
2025-10-02T07:00,13.0,50,9.0,0.0
2025-10-02T08:00,12.6,52,8.0,0.0
2025-10-02T09:00,12.5,56,6.9,0.0
2025-10-02T10:00,12.3,61,5.4,0.0
2025-10-02T11:00,12.0,63,6.2,0.0
2025-10-02T12:00,12.2,60,7.4,0.0
2025-10-02T13:00,13.8,53,10.5,0.0
2025-10-02T14:00,15.2,49,13.3,0.0
2025-10-02T15:00,16.2,46,14.2,0.0
2025-10-02T16:00,16.7,42,15.1,0.0
2025-10-02T17:00,17.3,37,15.2,0.0
2025-10-02T18:00,17.1,37,14.7,0.0
2025-10-02T19:00,17.4,36,11.9,0.0
2025-10-02T20:00,17.2,37,11.6,0.0
2025-10-02T21:00,16.8,39,10.2,0.0
2025-10-02T22:00,16.2,43,8.0,0.0
2025-10-02T23:00,15.1,49,8.4,0.0
2025-10-03T00:00,14.4,54,6.9,0.0
2025-10-03T01:00,14.0,56,6.9,0.0
2025-10-03T02:00,13.9,59,5.4,0.0
2025-10-03T03:00,13.7,62,5.1,0.0
2025-10-03T04:00,13.5,65,4.7,0.0
2025-10-03T05:00,13.4,67,4.1,0.0
2025-10-03T06:00,13.2,70,4.0,0.0
2025-10-03T07:00,12.9,73,3.6,0.0
2025-10-03T08:00,12.7,75,3.3,0.0
2025-10-03T09:00,12.6,76,1.8,0.0
2025-10-03T10:00,12.4,75,1.1,0.0
2025-10-03T11:00,12.2,75,1.1,0.0
2025-10-03T12:00,12.5,72,3.2,0.0
2025-10-03T13:00,14.2,64,4.9,0.0
2025-10-03T14:00,16.3,58,6.6,0.0
2025-10-03T15:00,18.3,54,7.7,0.0
