time,temperature_C,humidity_%,wind_speed_m/s,precipitation_mm
2025-09-30T00:00,21.5,34,7.4,0.0
2025-09-30T01:00,19.8,46,9.1,0.0
2025-09-30T02:00,19.9,45,6.2,0.0
2025-09-30T03:00,18.1,48,8.8,0.0
2025-09-30T04:00,16.6,56,6.6,0.0
2025-09-30T05:00,16.8,47,3.5,0.0
2025-09-30T06:00,15.5,51,1.8,0.0
2025-09-30T07:00,15.5,53,5.8,0.0
2025-09-30T08:00,15.2,57,5.8,0.0
2025-09-30T09:00,14.1,63,9.2,0.0
2025-09-30T10:00,13.3,59,8.0,0.0
2025-09-30T11:00,12.5,61,6.7,0.0
2025-09-30T12:00,13.2,62,7.7,0.0
2025-09-30T13:00,15.2,56,13.4,0.0
2025-09-30T14:00,16.3,53,13.4,0.0
2025-09-30T15:00,17.3,49,11.9,0.0
2025-09-30T16:00,18.3,41,13.8,0.0
2025-09-30T17:00,19.0,34,14.1,0.0
2025-09-30T18:00,19.5,29,14.1,0.0
2025-09-30T19:00,19.6,28,15.5,0.0
2025-09-30T20:00,19.2,29,16.6,0.0
2025-09-30T21:00,18.5,29,15.5,0.0
2025-09-30T22:00,17.1,31,12.6,0.0
2025-09-30T23:00,14.9,36,9.4,0.0
2025-10-01T00:00,13.6,40,9.9,0.0
2025-10-01T01:00,12.6,43,10.1,0.0
2025-10-01T02:00,11.8,45,10.4,0.0
2025-10-01T03:00,10.8,49,9.9,0.0
2025-10-01T04:00,9.9,52,8.2,0.0
2025-10-01T05:00,9.1,55,7.2,0.0
2025-10-01T06:00,8.4,59,7.5,0.0
2025-10-01T07:00,7.8,63,7.1,0.0
2025-10-01T08:00,7.1,67,6.3,0.0
2025-10-01T09:00,6.5,69,6.1,0.0
2025-10-01T10:00,6.0,72,6.1,0.0
2025-10-01T11:00,5.6,73,7.0,0.0
2025-10-01T12:00,6.8,68,7.3,0.0
2025-10-01T13:00,8.8,58,11.3,0.0
2025-10-01T14:00,10.3,51,12.9,0.0
2025-10-01T15:00,11.8,45,14.5,0.0
2025-10-01T16:00,12.9,44,14.1,0.0
2025-10-01T17:00,14.0,40,13.3,0.0
2025-10-01T18:00,14.9,37,14.3,0.0
2025-10-01T19:00,15.5,35,13.6,0.0
2025-10-01T20:00,15.7,34,12.4,0.0
2025-10-01T21:00,15.5,34,10.7,0.0
2025-10-01T22:00,14.5,38,7.9,0.0
2025-10-01T23:00,12.3,40,7.1,0.0
2025-10-02T00:00,10.7,43,6.8,0.0
2025-10-02T01:00,9.4,48,6.9,0.0
2025-10-02T02:00,8.1,60,5.4,0.0
2025-10-02T03:00,7.3,61,6.0,0.0
2025-10-02T04:00,6.7,60,6.4,0.0
2025-10-02T05:00,6.0,61,6.1,0.0
2025-10-02T06:00,5.4,64,4.8,0.0
2025-10-02T07:00,6.5,59,5.8,0.0
2025-10-02T08:00,6.2,60,4.8,0.0
2025-10-02T09:00,6.0,61,5.2,0.0
2025-10-02T10:00,5.6,62,5.4,0.0
2025-10-02T11:00,5.3,64,5.0,0.0
2025-10-02T12:00,6.2,61,6.0,0.0
2025-10-02T13:00,8.1,54,7.0,0.0
2025-10-02T14:00,10.1,48,7.6,0.0
2025-10-02T15:00,12.3,42,6.8,0.0
2025-10-02T16:00,14.1,37,6.2,0.0
2025-10-02T17:00,15.0,35,5.2,0.0
2025-10-02T18:00,16.0,32,5.4,0.0
2025-10-02T19:00,16.6,30,4.7,0.0
2025-10-02T20:00,16.8,30,5.2,0.0
2025-10-02T21:00,16.6,30,5.1,0.0
